31 29 7
-500 -75 0  -354.32 -75 0  -261.086 -75 0  -201.415 -75 0  -163.226 -75 0  -138.785 -75 0  -123.143 -75 0  -113.132 -75 0  -106.725 -75 0  -102.624 -75 0  -100 -75 0  -75 -75 0  -50 -75 0  -31.25 -75 0  -12.5 -75 0  6.25 -75 0  25 -75 0  43.75 -75 0  62.5 -75 0  81.25 -75 0  100 -75 0  104.714 -75 0  111.502 -75 0  121.276 -75 0  135.351 -75 0  155.619 -75 0  184.806 -75 0  226.834 -75 0  287.355 -75 0  374.504 -75 0  500 -75 0  
-500 -50 0  -354.32 -50 0  -261.086 -50 0  -201.415 -50 0  -163.226 -50 0  -138.785 -50 0  -123.143 -50 0  -113.132 -50 0  -106.725 -50 0  -102.624 -50 0  -100 -50 0  -75 -50 0  -50 -50 0  -31.25 -50 0  -12.5 -50 0  6.25 -50 0  25 -50 0  43.75 -50 0  62.5 -50 0  81.25 -50 0  100 -50 0  104.714 -50 0  111.502 -50 0  121.276 -50 0  135.351 -50 0  155.619 -50 0  184.806 -50 0  226.834 -50 0  287.355 -50 0  374.504 -50 0  500 -50 0  
-500 -25 0  -354.32 -25 0  -261.086 -25 0  -201.415 -25 0  -163.226 -25 0  -138.785 -25 0  -123.143 -25 0  -113.132 -25 0  -106.725 -25 0  -102.624 -25 0  -100 -25 0  -75 -25 0  -50 -25 0  -31.25 -25 0  -12.5 -25 0  6.25 -25 0  25 -25 0  43.75 -25 0  62.5 -25 0  81.25 -25 0  100 -25 0  104.714 -25 0  111.502 -25 0  121.276 -25 0  135.351 -25 0  155.619 -25 0  184.806 -25 0  226.834 -25 0  287.355 -25 0  374.504 -25 0  500 -25 0  
-500 0 0  -354.32 0 0  -261.086 0 0  -201.415 0 0  -163.226 0 0  -138.785 0 0  -123.143 0 0  -113.132 0 0  -106.725 0 0  -102.624 0 0  -100 0 0  -75 0 0  -50 0 0  -31.25 0 0  -12.5 0 0  6.25 0 0  25 0 0  43.75 0 0  62.5 0 0  81.25 0 0  100 0 0  104.714 0 0  111.502 0 0  121.276 0 0  135.351 0 0  155.619 0 0  184.806 0 0  226.834 0 0  287.355 0 0  374.504 0 0  500 0 0  
-500 25 0  -354.32 25 0  -261.086 25 0  -201.415 25 0  -163.226 25 0  -138.785 25 0  -123.143 25 0  -113.132 25 0  -106.725 25 0  -102.624 25 0  -100 25 0  -75 25 0  -50 25 0  -31.25 25 0  -12.5 25 0  6.25 25 0  25 25 0  43.75 25 0  62.5 25 0  81.25 25 0  100 25 0  104.714 25 0  111.502 25 0  121.276 25 0  135.351 25 0  155.619 25 0  184.806 25 0  226.834 25 0  287.355 25 0  374.504 25 0  500 25 0  
-500 50 0  -354.32 50 0  -261.086 50 0  -201.415 50 0  -163.226 50 0  -138.785 50 0  -123.143 50 0  -113.132 50 0  -106.725 50 0  -102.624 50 0  -100 50 0  -75 50 0  -50 50 0  -31.25 50 0  -12.5 50 0  6.25 50 0  25 50 0  43.75 50 0  62.5 50 0  81.25 50 0  100 50 0  104.714 50 0  111.502 50 0  121.276 50 0  135.351 50 0  155.619 50 0  184.806 50 0  226.834 50 0  287.355 50 0  374.504 50 0  500 50 0  
-500 75 0  -354.32 75 0  -261.086 75 0  -201.415 75 0  -163.226 75 0  -138.785 75 0  -123.143 75 0  -113.132 75 0  -106.725 75 0  -102.624 75 0  -100 75 0  -75 75 0  -50 75 0  -31.25 75 0  -12.5 75 0  6.25 75 0  25 75 0  43.75 75 0  62.5 75 0  81.25 75 0  100 75 0  104.714 75 0  111.502 75 0  121.276 75 0  135.351 75 0  155.619 75 0  184.806 75 0  226.834 75 0  287.355 75 0  374.504 75 0  500 75 0  
-500 100 0  -354.32 100 0  -261.086 100 0  -201.415 100 0  -163.226 100 0  -138.785 100 0  -123.143 100 0  -113.132 100 0  -106.725 100 0  -102.624 100 0  -100 100 0  -75 100 0  -50 100 0  -31.25 100 0  -12.5 100 0  6.25 100 0  25 100 0  43.75 100 0  62.5 100 0  81.25 100 0  100 100 0  104.714 100 0  111.502 100 0  121.276 100 0  135.351 100 0  155.619 100 0  184.806 100 0  226.834 100 0  287.355 100 0  374.504 100 0  500 100 0  
-500 104.714 0  -354.32 104.714 0  -261.086 104.714 0  -201.415 104.714 0  -163.226 104.714 0  -138.785 104.714 0  -123.143 104.714 0  -113.132 104.714 0  -106.725 104.714 0  -102.624 104.714 0  -100 104.714 0  -75 104.714 0  -50 104.714 0  -31.25 104.714 0  -12.5 104.714 0  6.25 104.714 0  25 104.714 0  43.75 104.714 0  62.5 104.714 0  81.25 104.714 0  100 104.714 0  104.714 104.714 0  111.502 104.714 0  121.276 104.714 0  135.351 104.714 0  155.619 104.714 0  184.806 104.714 0  226.834 104.714 0  287.355 104.714 0  374.504 104.714 0  500 104.714 0  
-500 111.502 0  -354.32 111.502 0  -261.086 111.502 0  -201.415 111.502 0  -163.226 111.502 0  -138.785 111.502 0  -123.143 111.502 0  -113.132 111.502 0  -106.725 111.502 0  -102.624 111.502 0  -100 111.502 0  -75 111.502 0  -50 111.502 0  -31.25 111.502 0  -12.5 111.502 0  6.25 111.502 0  25 111.502 0  43.75 111.502 0  62.5 111.502 0  81.25 111.502 0  100 111.502 0  104.714 111.502 0  111.502 111.502 0  121.276 111.502 0  135.351 111.502 0  155.619 111.502 0  184.806 111.502 0  226.834 111.502 0  287.355 111.502 0  374.504 111.502 0  500 111.502 0  
