Time 5
_____________________________________
|---N of Elem---|----Phase 0----|
|301            |1.00043        |
|302            |1.00033        |
|303            |0.999819       |
|304            |1.00005        |
|305            |1.00003        |
|306            |1.00003        |
|307            |1.00002        |
|308            |1.00002        |
|309            |0.999988       |
|310            |1.00005        |
|311            |1.00002        |
|312            |1.00002        |
|313            |1.00003        |
|314            |1.00003        |
|315            |1.00005        |
|316            |1.00009        |
|317            |1.00016        |
|318            |1.00043        |
|319            |0.998052       |
|320            |0.998259       |
|321            |1.00084        |
|322            |0.999561       |
|323            |1.00011        |
|324            |1.00009        |
|325            |1.00006        |
|326            |1.00006        |
|327            |1.00006        |
|328            |1.00006        |
|329            |0.999966       |
|330            |1.00012        |
|331            |1.00006        |
|332            |1.00006        |
|333            |1.00006        |
|334            |1.00006        |
|335            |1.00009        |
|336            |1.00011        |
|337            |1.00024        |
|338            |1.00041        |
|339            |0.998259       |
|340            |0.999626       |
|341            |0.998976       |
|342            |1.00027        |
|343            |1.00024        |
|344            |1.00016        |
|345            |1.00015        |
|346            |1.00015        |
|347            |1.00015        |
|348            |1.00014        |
|349            |0.999913       |
|350            |1.0003         |
|351            |1.00014        |
|352            |1.00015        |
|353            |1.00015        |
|354            |1.00015        |
|355            |1.00016        |
|356            |1.00024        |
|357            |1.00027        |
|358            |1.00059        |
|359            |0.998596       |
|360            |0.999321       |
|361            |1.00051        |
|362            |1.00059        |
|363            |1.00041        |
|364            |1.00043        |
|365            |1.00042        |
|366            |1.00042        |
|367            |1.00042        |
|368            |1.00042        |
|369            |0.999833       |
|370            |1.00082        |
|371            |1.00042        |
|372            |1.00042        |
|373            |1.00042        |
|374            |1.00042        |
|375            |1.00043        |
|376            |1.00041        |
|377            |1.00059        |
|378            |1.00051        |
|379            |0.999321       |
|380            |0.999614       |
|381            |0.999321       |
|382            |0.998596       |
|383            |0.998259       |
|384            |0.998052       |
|385            |0.997962       |
|386            |0.997925       |
|387            |0.997911       |
|388            |0.997906       |
|389            |0.996305       |
|390            |0.999016       |
|391            |0.997906       |
|392            |0.997911       |
|393            |0.997925       |
|394            |0.997962       |
|395            |0.998052       |
|396            |0.998259       |
|397            |0.998596       |
|398            |0.999321       |
|399            |0.999614       |
|400            |0.999614       |
|401            |0.999321       |
|402            |0.999626       |
|403            |0.998259       |
|404            |0.998052       |
|405            |0.997962       |
|406            |0.997925       |
|407            |0.997911       |
|408            |0.997906       |
|409            |0.996305       |
|410            |0.999016       |
|411            |0.997906       |
|412            |0.997911       |
|413            |0.997925       |
|414            |0.997962       |
|415            |0.998052       |
|416            |0.998259       |
|417            |0.999626       |
|418            |0.999321       |
|419            |0.999614       |
|420            |0.999321       |
|421            |1.00051        |
|422            |0.998976       |
|423            |1.00084        |
|424            |1.00043        |
|425            |1.00042        |
|426            |1.00042        |
|427            |1.00042        |
|428            |1.00042        |
|429            |0.999833       |
|430            |1.00082        |
|431            |1.00042        |
|432            |1.00042        |
|433            |1.00042        |
|434            |1.00042        |
|435            |1.00043        |
|436            |1.00084        |
|437            |0.998976       |
|438            |1.00051        |
|439            |0.999321       |
|440            |0.999626       |
|441            |0.998976       |
|442            |1.00027        |
|443            |0.999561       |
|444            |1.00033        |
|445            |1.00015        |
|446            |1.00015        |
|447            |1.00015        |
|448            |1.00014        |
|449            |0.999913       |
|450            |1.0003         |
|451            |1.00014        |
|452            |1.00015        |
|453            |1.00015        |
|454            |1.00015        |
|455            |1.00033        |
|456            |0.999561       |
|457            |1.00027        |
|458            |1.00059        |
|459            |0.998596       |
|460            |0.998259       |
|461            |1.00084        |
|462            |0.999561       |
|463            |1.00011        |
|464            |0.999819       |
|465            |1.00013        |
|466            |1.00006        |
|467            |1.00006        |
|468            |1.00006        |
|469            |0.999966       |
|470            |1.00012        |
|471            |1.00006        |
|472            |1.00006        |
|473            |1.00006        |
|474            |1.00013        |
|475            |0.999819       |
|476            |1.00011        |
|477            |1.00024        |
|478            |1.00041        |
|479            |0.998259       |
|480            |0.998052       |
|481            |1.00043        |
|482            |1.00033        |
|483            |0.999819       |
|484            |1.00005        |
|485            |0.999926       |
|486            |1.00003        |
|487            |1.00002        |
|488            |1.00002        |
|489            |0.999988       |
|490            |1.00005        |
|491            |1.00002        |
|492            |1.00002        |
|493            |1.00003        |
|494            |0.999926       |
|495            |1.00005        |
|496            |1.00009        |
|497            |1.00016        |
|498            |1.00043        |
|499            |0.998052       |
|500            |0.997962       |
|501            |1.00042        |
|502            |1.00015        |
|503            |1.00013        |
|504            |0.999926       |
|505            |1.00002        |
|506            |1.00001        |
|507            |1.00001        |
|508            |1.00001        |
|509            |0.999996       |
|510            |1.00002        |
|511            |1.00001        |
|512            |1.00001        |
|513            |1.00001        |
|514            |1.00002        |
|515            |1.00003        |
|516            |1.00006        |
|517            |1.00015        |
|518            |1.00042        |
|519            |0.997962       |
|520            |0.997925       |
|521            |1.00042        |
|522            |1.00015        |
|523            |1.00006        |
|524            |1.00003        |
|525            |1.00001        |
|526            |1.00001        |
|527            |1.00001        |
|528            |1              |
|529            |0.999999       |
|530            |1.00001        |
|531            |1              |
|532            |1.00001        |
|533            |1.00002        |
|534            |1.00001        |
|535            |1.00003        |
|536            |1.00006        |
|537            |1.00015        |
|538            |1.00042        |
|539            |0.997925       |
|540            |0.997911       |
|541            |1.00042        |
|542            |1.00015        |
|543            |1.00006        |
|544            |1.00002        |
|545            |1.00001        |
|546            |1.00001        |
|547            |1              |
|548            |1              |
|549            |1              |
|550            |1              |
|551            |1              |
|552            |1              |
|553            |1              |
|554            |1.00001        |
|555            |1.00002        |
|556            |1.00006        |
|557            |1.00015        |
|558            |1.00042        |
|559            |0.997911       |
|560            |0.997906       |
|561            |1.00042        |
|562            |1.00014        |
|563            |1.00006        |
|564            |1.00002        |
|565            |1.00001        |
|566            |1              |
|567            |1              |
|568            |1              |
|569            |1              |
|570            |1              |
|571            |1              |
|572            |1              |
|573            |1              |
|574            |1.00001        |
|575            |1.00002        |
|576            |1.00006        |
|577            |1.00014        |
|578            |1.00042        |
|579            |0.997906       |
|580            |0.996305       |
|581            |0.999833       |
|582            |0.999913       |
|583            |0.999966       |
|584            |0.999988       |
|585            |0.999996       |
|586            |0.999999       |
|587            |1              |
|588            |1              |
|589            |1              |
|590            |1              |
|591            |1              |
|592            |1              |
|593            |0.999999       |
|594            |0.999996       |
|595            |0.999988       |
|596            |0.999966       |
|597            |0.999913       |
|598            |0.999833       |
|599            |0.996305       |
|600            |0.999016       |
|601            |1.00082        |
|602            |1.0003         |
|603            |1.00012        |
|604            |1.00005        |
|605            |1.00002        |
|606            |1.00001        |
|607            |1              |
|608            |1              |
|609            |1              |
|610            |1              |
|611            |1              |
|612            |1              |
|613            |1.00001        |
|614            |1.00002        |
|615            |1.00005        |
|616            |1.00012        |
|617            |1.0003         |
|618            |1.00082        |
|619            |0.999016       |
|620            |0.997906       |
|621            |1.00042        |
|622            |1.00014        |
|623            |1.00006        |
|624            |1.00002        |
|625            |1.00001        |
|626            |1              |
|627            |1              |
|628            |1              |
|629            |1              |
|630            |1              |
|631            |1              |
|632            |1              |
|633            |1              |
|634            |1.00001        |
|635            |1.00002        |
|636            |1.00006        |
|637            |1.00014        |
|638            |1.00042        |
|639            |0.997906       |
|640            |0.997911       |
|641            |1.00042        |
|642            |1.00015        |
|643            |1.00006        |
|644            |1.00002        |
|645            |1.00001        |
|646            |1.00001        |
|647            |1              |
|648            |1              |
|649            |1              |
|650            |1              |
|651            |1              |
|652            |1.00001        |
|653            |1              |
|654            |1.00001        |
|655            |1.00002        |
|656            |1.00006        |
|657            |1.00015        |
|658            |1.00042        |
|659            |0.997911       |
|660            |0.997925       |
|661            |1.00042        |
|662            |1.00015        |
|663            |1.00006        |
|664            |1.00003        |
|665            |1.00001        |
|666            |1.00002        |
|667            |1              |
|668            |1              |
|669            |0.999999       |
|670            |1.00001        |
|671            |1              |
|672            |1              |
|673            |1.00002        |
|674            |1.00001        |
|675            |1.00003        |
|676            |1.00006        |
|677            |1.00015        |
|678            |1.00042        |
|679            |0.997925       |
|680            |0.997962       |
|681            |1.00042        |
|682            |1.00015        |
|683            |1.00013        |
|684            |0.999926       |
|685            |1.00002        |
|686            |1.00001        |
|687            |1.00001        |
|688            |1.00001        |
|689            |0.999996       |
|690            |1.00002        |
|691            |1.00001        |
|692            |1.00001        |
|693            |1.00001        |
|694            |1.00002        |
|695            |1.00003        |
|696            |1.00006        |
|697            |1.00015        |
|698            |1.00042        |
|699            |0.997962       |
|700            |0.998052       |
|701            |1.00043        |
|702            |1.00033        |
|703            |0.999819       |
|704            |1.00005        |
|705            |1.00003        |
|706            |1.00003        |
|707            |1.00002        |
|708            |1.00002        |
|709            |0.999988       |
|710            |1.00005        |
|711            |1.00002        |
|712            |1.00002        |
|713            |1.00003        |
|714            |1.00003        |
|715            |1.00005        |
|716            |1.00009        |
|717            |1.00016        |
|718            |1.00043        |
|719            |0.998052       |
|720            |0.998259       |
|721            |1.00084        |
|722            |0.999561       |
|723            |1.00011        |
|724            |1.00009        |
|725            |1.00006        |
|726            |1.00006        |
|727            |1.00006        |
|728            |1.00006        |
|729            |0.999966       |
|730            |1.00012        |
|731            |1.00006        |
|732            |1.00006        |
|733            |1.00006        |
|734            |1.00006        |
|735            |1.00009        |
|736            |1.00011        |
|737            |1.00024        |
|738            |1.00041        |
|739            |0.998259       |
|740            |0.999626       |
|741            |0.998976       |
|742            |1.00027        |
|743            |1.00024        |
|744            |1.00016        |
|745            |1.00015        |
|746            |1.00015        |
|747            |1.00015        |
|748            |1.00014        |
|749            |0.999913       |
|750            |1.0003         |
|751            |1.00014        |
|752            |1.00015        |
|753            |1.00015        |
|754            |1.00015        |
|755            |1.00016        |
|756            |1.00024        |
|757            |1.00027        |
|758            |1.00059        |
|759            |0.998596       |
|760            |0.999321       |
|761            |1.00051        |
|762            |1.00059        |
|763            |1.00041        |
|764            |1.00043        |
|765            |1.00042        |
|766            |1.00042        |
|767            |1.00042        |
|768            |1.00042        |
|769            |0.999833       |
|770            |1.00082        |
|771            |1.00042        |
|772            |1.00042        |
|773            |1.00042        |
|774            |1.00042        |
|775            |1.00043        |
|776            |1.00041        |
|777            |1.00059        |
|778            |1.00051        |
|779            |0.999321       |
|780            |0.999614       |
|781            |0.999321       |
|782            |0.998596       |
|783            |0.998259       |
|784            |0.998052       |
|785            |0.997962       |
|786            |0.997925       |
|787            |0.997911       |
|788            |0.997906       |
|789            |0.996305       |
|790            |0.999016       |
|791            |0.997906       |
|792            |0.997911       |
|793            |0.997925       |
|794            |0.997962       |
|795            |0.998052       |
|796            |0.998259       |
|797            |0.998596       |
|798            |0.999321       |
|799            |0.999614       |
|800            |1              |
|801            |1              |
|802            |1              |
|803            |1              |
|804            |1              |
|805            |1              |
|806            |1              |
|807            |1              |
|808            |1              |
|809            |1              |
|810            |1              |
|811            |1              |
|812            |1              |
|813            |1              |
|814            |1              |
|815            |1              |
|816            |1              |
|817            |1              |
|818            |1              |
|819            |1              |
|820            |1              |
|821            |1              |
|822            |1              |
|823            |1              |
|824            |1              |
|825            |1              |
|826            |1              |
|827            |1              |
|828            |1              |
|829            |1              |
|830            |1              |
|831            |1              |
|832            |1              |
|833            |1              |
|834            |1              |
|835            |1              |
|836            |1              |
|837            |1              |
|838            |1              |
|839            |1              |
|840            |1              |
|841            |1              |
|842            |1              |
|843            |1              |
|844            |1              |
|845            |1              |
|846            |1              |
|847            |1              |
|848            |1              |
|849            |1              |
|850            |1              |
|851            |1              |
|852            |1              |
|853            |1              |
|854            |1              |
|855            |1              |
|856            |1              |
|857            |1              |
|858            |1              |
|859            |1              |
|860            |1              |
|861            |1              |
|862            |1              |
|863            |1              |
|864            |1              |
|865            |1              |
|866            |1              |
|867            |1              |
|868            |1              |
|869            |1              |
|870            |1              |
|871            |1              |
|872            |1              |
|873            |1              |
|874            |1              |
|875            |1              |
|876            |1              |
|877            |1              |
|878            |1              |
|879            |1              |
|880            |1              |
|881            |1              |
|882            |1              |
|883            |1              |
|884            |1              |
|885            |1              |
|886            |1              |
|887            |1              |
|888            |1              |
|889            |1              |
|890            |1              |
|891            |1              |
|892            |1              |
|893            |1              |
|894            |1              |
|895            |1              |
_______________________________________________________
